Sprint No.,Story ID,Task ID,Task Description,Task Story Points,Dependencies,Deliverables
3,AQ-205,AQ-205-T2,Create regression scenarios for common prompt types,1,AQ-205-T1,Reusable evaluation scenarios
3,AQ-205,AQ-205-T3,Compare grounded versus weak-context response quality,1,AQ-205-T2,Comparative retrieval-quality evidence
3,AQ-205,AQ-205-T4,Publish repeatable evaluation checks for future sprints,1,"AQ-205-T1, AQ-205-T2",Repeatable validation checklist
4,AQ-401,AQ-401-T1,Define the 9 engineering principles to 3 disciplines mapping model,2,AQ-203,Principle-to-discipline mapping baseline
4,AQ-401,AQ-401-T2,"Create targeted context enrichment for People, Process, and Technology",2,AQ-401-T1,Principle-aware prompt enrichment
4,AQ-401,AQ-401-T3,Add principle extraction and request classification for To-Be analysis,2,AQ-401-T2,To-Be routing logic
4,AQ-401,AQ-401-T4,Validate principle coverage for common transformation prompts,1,AQ-401-T3,Coverage validation results
4,AQ-402,AQ-402-T1,"Add entity extraction for pillars, roles, and tools from user queries",2,AQ-203-T4,Query entity extraction layer
4,AQ-402,AQ-402-T2,Build multi-hop graph traversal for structural context retrieval,2,AQ-402-T1,Graph traversal retrieval
4,AQ-402,AQ-402-T3,Merge graph and vector context with deduplication and source tagging,2,"AQ-402-T2, AQ-204-T3",Hybrid Graph-RAG retriever
4,AQ-402,AQ-402-T4,Add global-summary fallback when no direct entity match exists,1,AQ-402-T3,Fallback retrieval behavior
4,AQ-403,AQ-403-T1,Generate To-Be diagrams in DOT and Mermaid formats from LLM output,3,"AQ-401, AQ-402",To-Be diagram generation pipeline
4,AQ-403,AQ-403-T2,Derive PlantUML artifacts from generated architecture outputs,2,AQ-403-T1,PlantUML diagram export
4,AQ-403,AQ-403-T3,Support gap-analysis mode for removed pillars or components,2,AQ-403-T1,Gap-analysis flow
4,AQ-403,AQ-403-T4,Highlight direct and indirect impact nodes in gap diagrams,2,AQ-403-T3,Risk-highlighted gap diagrams
4,AQ-404,AQ-404-T1,Convert long-form LLM analysis into structured document sections,2,AQ-401-T3,Structured narrative content blocks
4,AQ-404,AQ-404-T2,Enable downloadable Word and Excel exports for analysis output,2,AQ-404-T1,Word and Excel export support
4,AQ-404,AQ-404-T3,Enable downloadable PowerPoint and PDF exports for analysis output,2,AQ-404-T1,PowerPoint and PDF export support
4,AQ-404,AQ-404-T4,"Validate file naming, MIME types, and preview/download behavior",1,"AQ-404-T2, AQ-404-T3",Production-ready export downloads
4,AQ-405,AQ-405-T1,Add persistent chat history for multi-session continuity,2,AQ-402,Session history capability
4,AQ-405,AQ-405-T2,Add token usage tracking and budget visibility in the UI,2,AQ-405-T1,Token usage dashboard
4,AQ-405,AQ-405-T3,Add Langfuse-based observability and trace capture for LLM flows,2,"AQ-402, AQ-405-T2",LLM traceability
4,AQ-405,AQ-405-T4,"Refine UI experience for upload, mode badges, and download actions",1,"AQ-404-T4, AQ-405-T1",Improved user interaction flow
